	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
1274	2013-04-11	57,867,486	5,799,700,086	99.0	101.5	98.8	101.5	+3.20	12,430	2013-04-11	101.5	99.0	101.5	2.5
1275	2013-04-12	19,568,004	1,968,624,772	101.5	101.5	100.0	100.5	-1.00	5,602	2013-04-12	100.5	101.5	100.5	-1.0
1276	2013-04-15	23,440,616	2,343,267,705	100.5	101.0	99.1	99.4	-1.10	6,275	2013-04-15	99.4	100.5	99.4	-1.0999999999999943
1277	2013-04-16	35,918,924	3,576,311,040	98.2	101.0	98.2	100.5	+1.10	8,309	2013-04-16	100.5	98.2	100.5	2.299999999999997
1278	2013-04-17	35,897,101	3,598,786,346	101.5	101.5	99.7	100.0	-0.50	7,663	2013-04-17	100.0	101.5	100.0	-1.5
1279	2013-04-18	33,083,804	3,316,064,572	100.0	101.0	99.4	99.9	-0.10	7,209	2013-04-18	99.9	100.0	99.9	-0.09999999999999432
1280	2013-04-19	66,950,314	7,110,036,743	105.5	106.5	105.5	106.5	+6.60	15,197	2013-04-19	106.5	105.5	106.5	1.0
1281	2013-04-22	72,502,228	7,859,371,624	108.5	109.5	107.5	108.5	+2.00	16,146	2013-04-22	108.5	108.5	108.5	0.0
1282	2013-04-23	46,146,072	4,903,358,892	106.5	107.5	105.5	106.0	-2.50	10,405	2013-04-23	106.0	106.5	106.0	-0.5
1283	2013-04-24	35,495,750	3,753,132,000	106.5	107.0	104.5	106.0	 0.00	10,908	2013-04-24	106.0	106.5	106.0	-0.5
1284	2013-04-25	26,287,666	2,792,181,370	106.0	107.0	105.5	107.0	+1.00	7,044	2013-04-25	107.0	106.0	107.0	1.0
1285	2013-04-26	36,776,724	3,975,714,992	107.0	109.0	107.0	108.5	+1.50	11,735	2013-04-26	108.5	107.0	108.5	1.5
1286	2013-04-29	21,092,377	2,279,129,984	108.5	108.5	107.5	108.0	-0.50	6,502	2013-04-29	108.0	108.5	108.0	-0.5
1287	2013-04-30	34,612,725	3,772,841,445	108.5	109.5	108.5	109.5	+1.50	10,732	2013-04-30	109.5	108.5	109.5	1.0
1288	2013-05-02	38,796,887	4,272,592,070	110.0	111.0	109.0	110.5	+1.00	10,471	2013-05-02	110.5	110.0	110.5	0.5
1289	2013-05-03	36,621,737	4,072,080,617	111.5	112.5	110.0	110.0	-0.50	9,832	2013-05-03	110.0	111.5	110.0	-1.5
1290	2013-05-06	19,393,798	2,156,914,078	111.5	111.5	110.5	111.5	+1.50	6,706	2013-05-06	111.5	111.5	111.5	0.0
1291	2013-05-07	22,448,180	2,521,248,290	112.0	113.0	111.0	112.5	+1.00	7,353	2013-05-07	112.5	112.0	112.5	0.5
1292	2013-05-08	42,509,709	4,842,348,356	112.5	115.0	112.5	114.5	+2.00	11,870	2013-05-08	114.5	112.5	114.5	2.0
1293	2013-05-09	27,606,177	3,186,565,567	116.0	116.0	114.5	115.0	+0.50	9,101	2013-05-09	115.0	116.0	115.0	-1.0
1294	2013-05-10	27,536,736	3,146,083,904	115.0	115.0	113.5	114.5	-0.50	7,521	2013-05-10	114.5	115.0	114.5	-0.5
1295	2013-05-13	18,263,266	2,094,696,397	115.0	115.5	114.0	114.5	 0.00	3,993	2013-05-13	114.5	115.0	114.5	-0.5
1296	2013-05-14	27,855,127	3,224,146,605	115.5	116.5	115.0	115.5	+1.00	7,881	2013-05-14	115.5	115.5	115.5	0.0
1297	2013-05-15	29,107,560	3,338,273,993	115.0	116.0	113.5	115.0	-0.50	6,849	2013-05-15	115.0	115.0	115.0	0.0
1298	2013-05-16	45,770,439	5,227,824,787	115.0	116.0	113.0	113.5	-1.50	10,033	2013-05-16	113.5	115.0	113.5	-1.5
1299	2013-05-17	19,316,452	2,177,150,076	112.0	113.5	111.5	113.5	 0.00	6,145	2013-05-17	113.5	112.0	113.5	1.5
1300	2013-05-20	16,882,054	1,911,454,937	112.5	114.0	112.5	114.0	+0.50	4,897	2013-05-20	114.0	112.5	114.0	1.5
1301	2013-05-21	17,238,193	1,941,365,116	113.0	113.5	112.0	112.5	-1.50	5,038	2013-05-21	112.5	113.0	112.5	-0.5
1302	2013-05-22	34,068,421	3,821,447,086	112.5	113.5	111.0	112.0	-0.50	8,462	2013-05-22	112.0	112.5	112.0	-0.5
1303	2013-05-23	46,874,809	5,132,481,372	110.5	111.5	108.0	108.0	-4.00	12,254	2013-05-23	108.0	110.5	108.0	-2.5
1304	2013-05-24	26,736,102	2,929,037,118	109.5	110.5	108.5	109.5	+1.50	7,786	2013-05-24	109.5	109.5	109.5	0.0
1305	2013-05-27	19,161,396	2,129,098,594	109.5	112.0	109.5	112.0	+2.50	6,339	2013-05-27	112.0	109.5	112.0	2.5
1306	2013-05-28	22,762,131	2,520,915,219	112.0	112.5	109.5	109.5	-2.50	5,944	2013-05-28	109.5	112.0	109.5	-2.5
1307	2013-05-29	16,781,832	1,865,802,389	110.5	112.0	110.5	111.0	+1.50	4,809	2013-05-29	111.0	110.5	111.0	0.5
1308	2013-05-30	36,121,568	3,987,922,980	111.0	111.5	109.5	110.0	-1.00	6,534	2013-05-30	110.0	111.0	110.0	-1.0
1309	2013-05-31	37,205,933	4,086,301,119	111.5	111.5	109.0	109.5	-0.50	7,620	2013-05-31	109.5	111.5	109.5	-2.0
1310	2013-06-03	35,834,419	3,858,216,000	108.0	108.5	106.5	107.5	-2.00	9,111	2013-06-03	107.5	108.0	107.5	-0.5
