	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
512	2015-12-01	48,931,728	6,882,084,076	140.5	142.5	138.5	142.5	+3.50	15,965	2015-12-01	142.5	140.5	142.5	2.0
513	2015-12-02	31,767,868	4,545,318,756	144.0	144.0	142.0	142.5	 0.00	9,705	2015-12-02	142.5	144.0	142.5	-1.5
514	2015-12-03	28,204,644	4,013,101,755	141.5	143.0	141.5	142.5	 0.00	5,048	2015-12-03	142.5	141.5	142.5	1.0
515	2015-12-04	31,780,733	4,481,042,445	141.0	142.5	140.5	140.5	-2.00	10,122	2015-12-04	140.5	141.0	140.5	-0.5
516	2015-12-07	41,097,638	5,902,665,174	142.0	144.5	142.0	143.5	+3.00	15,781	2015-12-07	143.5	142.0	143.5	1.5
517	2015-12-08	34,037,222	4,846,422,179	143.5	144.0	141.0	142.5	-1.00	9,537	2015-12-08	142.5	143.5	142.5	-1.0
518	2015-12-09	30,640,495	4,323,363,409	142.0	142.0	140.5	140.5	-2.00	8,387	2015-12-09	140.5	142.0	140.5	-1.5
519	2015-12-10	41,487,561	5,817,845,601	140.5	141.5	139.0	141.0	+0.50	8,599	2015-12-10	141.0	140.5	141.0	0.5
520	2015-12-11	32,030,596	4,494,186,536	141.0	142.0	139.0	139.5	-1.50	10,076	2015-12-11	139.5	141.0	139.5	-1.5
521	2015-12-14	37,666,637	5,217,880,999	137.5	139.5	137.5	139.0	-0.50	7,423	2015-12-14	139.0	137.5	139.0	1.5
522	2015-12-15	27,973,102	3,891,713,298	139.5	140.5	138.0	138.0	-1.00	8,428	2015-12-15	138.0	139.5	138.0	-1.5
523	2015-12-16	58,669,086	8,381,627,759	142.0	144.0	141.0	143.5	+5.50	23,243	2015-12-16	143.5	142.0	143.5	1.5
524	2015-12-17	34,710,663	5,005,823,882	144.5	145.0	143.0	145.0	+1.50	13,019	2015-12-17	145.0	144.5	145.0	0.5
525	2015-12-18	41,615,595	5,964,658,320	143.0	145.0	142.0	142.0	-3.00	8,307	2015-12-18	142.0	143.0	142.0	-1.0
526	2015-12-21	26,939,460	3,808,022,515	141.5	142.5	140.5	141.5	-0.50	8,942	2015-12-21	141.5	141.5	141.5	0.0
527	2015-12-22	17,209,761	2,431,736,616	141.0	142.0	140.5	142.0	+0.50	5,052	2015-12-22	142.0	141.0	142.0	1.0
528	2015-12-23	18,152,173	2,576,333,960	141.0	143.0	140.5	141.5	-0.50	5,631	2015-12-23	141.5	141.0	141.5	0.5
529	2015-12-24	13,495,395	1,926,688,090	143.0	143.5	142.0	142.0	+0.50	4,914	2015-12-24	142.0	143.0	142.0	-1.0
530	2015-12-25	6,168,635	880,104,962	142.0	143.5	142.0	143.0	+1.00	1,797	2015-12-25	143.0	142.0	143.0	1.0
531	2015-12-28	10,831,155	1,555,902,665	143.5	144.0	143.0	143.5	+0.50	4,191	2015-12-28	143.5	143.5	143.5	0.0
532	2015-12-29	12,968,379	1,848,992,618	143.5	144.0	141.5	142.0	-1.50	6,037	2015-12-29	142.0	143.5	142.0	-1.5
